,5UTRlen,3UTRlen,CDSlen,mRNA_DW,Eff_DW,hl_RS,syn_RS,pro,tAI,TR,startWin_1_MEE,startWin_end_MEE,stopWin_1_MEE,stopWin_end_MEE,uORF,GC3,CDSminMFE,CDSmeanMFE,pAlen2
YDL045C,4.9053,4.8442,6.8255,3.4301,-0.10976,2.7213,-2.2164,3.8067,0.36,-2.4079,-12,-8.6,1.4,1.6,-1.6094,-0.55118,-16.1,-7.8414,54.2
YLR163C,3.1781,4.5643,7.2363,4.3385,-0.16886,2.5177,-1.5606,5.1552,0.4,-1.8859,5.8,5.8,-3.5,-0.7,-1.6094,-0.66401,-18,-8.24,30
YNL056W,2.8332,5.1533,6.3869,4.3527,-0.60346,2.3514,-1.2242,5.0283,0.34,-1.6923,2,2,-2.7,-11.6,-1.6094,-0.44131,-14.4,-8.6556,38.4
YOR038C,3.912,4.5643,7.874,3.3286,-0.50309,1.8718,-1.1552,3.8501,0.37,-2.5257,-10.8,-7.2,-6.6,-5.1,-1.6094,-0.59482,-20,-7.8581,33.1
YFL001W,0.69315,3.434,7.1922,3.7684,-0.5011,2.451,-1.4397,4.6974,0.38,-2.162,-9.3,-9.3,-2,-2,-1.6094,-0.54616,-17.3,-7.3907,38.9
YKL025C,3.4965,4.0943,7.6207,3.7776,-0.39454,1.361,-0.35667,4.9488,0.37,-1.987,-7.1,-9.2,0,-3.7,-1.6094,-0.56553,-15.6,-6.447,36.2
YKL125W,4.4188,5.0562,7.5412,3.7707,-0.3735,1.8871,-0.58519,4.1744,0.37,-1.5191,-5.4,-6.1,-10.1,-5.6,0.18232,-0.54684,-15.5,-7.9623,35.9
YKL170W,3.9512,4.9053,6.0331,4.2054,0.25285,3.5835,-2.3228,6.4441,0.38,-1.4288,-1.1,-1.7,-4.9,-2.9,-1.6094,-0.56222,-11.6,-7.9667,39.8
YDR307W,3.9703,5.0039,7.5954,3.7182,-0.30606,2.1861,-1.743,4.9248,0.35,-2.9004,-4.1,-6.2,-5,0,-1.6094,-0.59942,-16.6,-7.1846,35.2
YLR090W,3.091,4.5747,7.2298,3.9574,-0.50866,2.2513,-1.7603,4.0943,0.39,-1.7435,-5.5,-5.5,-9,7.7,-1.6094,-0.3986,-21,-9.0227,48
YML022W,3.091,5.3327,6.3351,5.9662,0.26569,4.0037,-1.1973,6.1115,0.47,-1.5554,-8.3,-8.3,-8.5,-2.5,-1.6094,-0.51379,-15.4,-10.859,30.9
YJR031C,4.3175,4.8903,8.3492,3.94,-1.0233,2.2513,-1.7037,4.483,0.36,-2.8018,-4.9,-9.9,-1.9,-6,-1.6094,-0.62949,-16,-7.4647,28.2
YDL150W,4.5643,4.5433,7.146,4.1446,-0.13432,2.0281,-0.87948,5.4582,0.39,-2.3486,-0.8,-7.1,-5,0.9,-1.6094,-0.56341,-18.3,-8.5902,35.4
YJR119C,2.0794,3.6636,7.6903,2.1736,-0.722,2.7344,-2.8134,3.8395,0.36,-3.5336,-7.3,-7.3,-4.7,-5.8,-1.6094,-0.61907,-15.6,-7.5042,42
YLR199C,3.434,4.9904,6.7226,3.9763,0.052605,2.5726,-1.6045,3.6889,0.34,-2.4214,-3.4,-3.4,-8.1,-1.8,-1.6094,-0.63866,-16.8,-8.4885,35
YNL138W,3.2581,4.7791,7.3658,5.5596,0.14301,2.6391,-0.4385,5.7268,0.44,-1.6571,-9.8,-9.8,-7.8,-4.5,-1.6094,-0.60279,-17.4,-8.0412,27.9
YDL236W,2.7081,4.8978,6.8448,4.8086,0.34434,3.8459,-1.7603,6.3172,0.42,-1.8288,-0.2,-0.2,-9.5,-8.2,-1.6094,-0.54745,-15.2,-8.8533,31.8
YBR139W,1.6094,5.2257,7.3311,4.4945,-0.026831,2.4681,-1.2073,4.2905,0.37,-2.4698,-11.3,-11.3,-8.3,-4.3,-1.6094,-0.56594,-14.5,-8.6265,7.6
YNL116W,4.1109,5.0876,7.3582,3.5133,-0.097906,2.0412,-1.6094,3.6636,0.35,-2.333,-13.4,-8.1,-8.4,-5.4,-1.6094,-0.58742,-24.6,-8.4176,37.4
YDR361C,3.4965,5.5255,6.7476,4.7625,0.22061,2.9755,-1.1117,6.0153,0.43,-1.9769,-4,-6.2,-10,-6.6,-1.6094,-0.59543,-15.2,-7.4444,36.4
YLR333C,6.1463,4.6821,5.79,7.711,0.47327,4.2542,-0.83011,7.6672,0.59,-1.0194,-0.4,-5.3,-3.1,-1.8,-1.6094,-0.43485,-15.1,-10.478,26.3
YPL204W,5.2257,4.8903,7.3032,4.5995,-0.19799,2.1401,-0.14272,5.4596,0.4,-1.0164,-3.2,-7.6,-8,-0.9,-1.6094,-0.483,-16.4,-8.2654,42.6
YGR026W,3.6109,5.0689,6.7298,5.1303,0.1393,2.9124,-1.1117,6.0615,0.41,-2.7151,7.5,-0.2,-3.5,0,-1.6094,-0.44588,-16.3,-6.4885,38.6
YDR288W,3.6636,5.0626,6.8156,3.6755,-0.79916,2.6027,-1.9241,4.4543,0.37,-1.8547,-7.9,-8.9,-7.1,-7.6,-1.6094,-0.60897,-13.3,-8.0345,44.8
YBR237W,3.7842,4.4659,7.8438,3.1583,-1.1982,1.7047,-1.1712,4.4697,0.37,-2.2055,-4.8,-8,-6.7,-1.9,-1.6094,-0.62857,-16.6,-7.6398,42.6
YBR197C,1.6094,6.1247,6.4831,3.6283,-0.35421,2.1748,-2.2256,4.6571,0.29,-1.5233,-13.1,-13.1,-12,-5.7,-1.6094,-0.4069,-15.9,-8.865,41.2
YHR147C,3.5264,4.8675,6.4693,4.3232,0.058321,2.9755,-1.7838,4.2097,0.37,-1.8978,-2.5,3.5,-3.1,-4.8,-1.6094,-0.62954,-17.9,-9.59,30
YML005W,1.9459,4.0431,7.2363,3.2539,-0.49511,2.4932,-2.112,4.2905,0.34,-2.8525,-4.5,-4.5,-0.3,1.3,-1.6094,-0.63915,-16.4,-7.6844,35.5
YNL215W,3.4965,3.8501,6.8701,3.2217,0.91349,2.1972,-1.1777,4.5917,0.39,-1.6966,-7.8,-5.1,-5.3,-5.2,-1.6094,-0.58095,-14,-7.2097,36.5
YEL012W,4.5539,4.6821,6.4877,3.5743,0.095132,2.2407,-1.1394,4.4108,0.37,-2.5245,-5.6,-4.9,-2.3,-4.4,-1.6094,-0.50389,-15.3,-8.525,33.1
YDR483W,3.2581,4.8442,7.1922,5.688,-0.38979,2.5802,-0.27575,4.5609,0.45,-2.1186,-9,-9,-4.9,-7,0.18232,-0.52305,-21.5,-9.4744,35.4
YER061C,3.6636,3.8286,7.1922,3.5639,-0.65262,2.23,-2.0025,4.9813,0.35,-2.7567,-4.4,-4.4,-6,-6.4,-1.6094,-0.58187,-16,-8.8767,35.7
YLR022C,1.3863,4.1271,6.6241,4.4907,0.022946,1.9169,-0.65393,5.3597,0.36,-1.601,-6.1,-6.1,1,4.2,-1.6094,-0.57421,-13.1,-7.8333,27.9
YER183C,2.3026,4.5218,6.4552,4.2712,-0.17389,3.8416,-2.2828,3.9703,0.34,-2.3666,-2.1,-2.1,-10.5,-2.8,-1.6094,-0.6653,-14.1,-9.05,36.3
YOL021C,1.9459,4.585,8.0084,4.5147,-0.28204,2.1633,-0.64817,5.261,0.41,-1.4952,-7.2,-7.2,-3.6,0.7,-1.6094,-0.5381,-21.2,-9.4303,37.4
YHR030C,5.1705,4.9488,7.2828,4.3355,-0.46593,2.1041,-0.45413,5.1705,0.37,-1.9834,-6.4,-2,-2.3,-3.9,0.18232,-0.5839,-18.4,-8.9851,36.6
YNR050C,3.6376,4.5643,7.2012,5.0264,0.14142,2.8736,0.61573,8.9619,0.5,-2.3016,0.5,-8.9,0,-4.3,-1.6094,-0.5838,-19.9,-9.8767,27.1
YML110C,3.2581,5.6454,6.8287,5.3027,-0.29476,3.1946,-0.60148,4.0254,0.41,-1.7994,-6.2,-6.2,-4.5,-3.7,-1.6094,-0.5146,-18.1,-10.007,25.9
YPR029C,3.5835,5.3033,7.8236,4.2683,-0.57244,2.3609,-1.3509,3.7136,0.39,-2.5232,-9.2,-9.4,-3.2,-6.4,-1.6094,-0.56775,-16,-6.9732,35.3
YFL048C,3.0445,4.7536,7.1989,5.0258,-0.072004,2.8273,-1.4147,5.9532,0.42,-1.772,-9.2,-9.2,-9.3,-5.2,-1.6094,-0.59037,-16.2,-9.1116,26.3
YLR117C,2.0794,4.8203,7.6324,3.3604,-0.48286,1.9021,-1.1426,4.3351,0.35,-1.9944,-11.3,-11.3,-5.7,2.8,-1.6094,-0.58369,-21,-7.1866,32.9
YOR109W,4.5433,5.1475,8.1089,4.5595,-0.64154,2.1518,-0.77436,5.2329,0.37,-1.9783,3.2,-2.4,-12.1,-7.2,-1.6094,-0.66991,-16.5,-7.555,32.5
YCL055W,5.6021,4.4067,6.9157,3.7346,0.10467,3.2308,-0.41703,4.6944,0.39,-1.9762,-2,2.7,-3.2,-5.5,-1.6094,-0.56806,-14.3,-8.1531,32.1
YMR102C,5.0499,4.7791,7.826,3.6651,-0.75984,2.0669,-0.12783,3.9512,0.35,-1.5755,-4.7,-8.9,-12.4,0,-1.6094,-0.58213,-15.4,-7.8646,32.8
YCR071C,3.434,4.2485,6.089,4.2059,0.11094,2.5494,-1.313,4.9904,0.35,-1.7922,-9.3,-9.3,-3.2,-3.2,-1.6094,-0.47157,-16.8,-7.8154,29.3
YDR175C,3.8286,4.7536,6.8669,3.7621,0.20797,2.0919,-1.0847,4.7005,0.37,-1.7522,0,5.1,-3.6,2.4,-1.6094,-0.64217,-14.7,-8.5733,39.4
YOR154W,2.3026,5.0106,7.4753,3.2414,-0.91317,1.2238,-0.97817,4.2413,0.37,-2.443,-11.6,-11.6,-0.9,-6.1,-1.6094,-0.57483,-17.9,-7.7579,32.5
YBR070C,2.9957,3.7612,6.5709,3.8834,-0.37726,3.661,-3.1236,4.4998,0.32,-2.7334,-6.4,-6.4,-9,-6.2,-1.6094,-0.52423,-12.2,-8.4227,33.1
YNL315C,2.1972,4.654,6.8638,4.1839,-0.2027,3.1442,-2.1371,4.9802,0.4,-1.8439,-10.2,-10.2,-0.3,-4.2,-1.6094,-0.5278,-14.8,-8.5767,34.1
YDR349C,4.5539,4.7707,7.4905,4.2663,-0.92808,2.2407,-0.89649,4.4735,0.33,-2.0472,-7.8,-1.4,-4.6,-1.6,0.18232,-0.60618,-17.7,-8.2379,34.3
YIL126W,4.2485,4.8903,8.3139,4.713,-0.74331,2.0412,-0.63677,5.6095,0.43,-1.5187,-8.7,-9.3,-8.8,-3.3,-1.6094,-0.62417,-19,-7.2657,37.6
YMR282C,3.7612,4.9273,7.4634,3.4626,-1.1501,2.2192,-1.5654,4.1972,0.32,-2.7196,-7.7,-6.8,-1.9,-6,-1.6094,-0.61662,-19.4,-8.0404,43.1
YGR211W,4.0073,5.2883,7.2869,5.1179,0.19211,2.0794,-0.3798,6.5549,0.45,-0.26046,-6.9,-1,-16.2,1.3,-1.6094,-0.48491,-14.4,-9,35.7
YJL069C,3.0445,4.3694,7.4872,4.0632,-0.0022377,1.9169,-0.69515,5.8464,0.39,-1.9366,-8.7,-8.7,-2.2,-5.2,-1.6094,-0.62574,-17.3,-7.8757,34.3
YDR332W,3.2189,4.2767,7.6353,2.7856,-1.53,2.6532,-2.3434,3.9318,0.34,-2.7473,-3.1,-3.1,-3.8,-3.6,-1.6094,-0.66129,-19.9,-7.3373,14.9
YLR285W,3.5264,4.6728,6.667,4.6964,0.075489,3.2068,-1.6296,5.7192,0.4,-2.3549,-6.5,-6.5,-0.7,-6.5,-1.6094,-0.65992,-16.7,-8.448,32.6
YCR086W,4.1744,3.9512,6.3509,3.2542,0.45566,2.6946,-2.5257,3.9982,0.32,-2.1928,-0.6,0,-3.6,-3.1,-1.6094,-0.31757,-18.7,-8.3778,39.9
YKR024C,3.2581,4.3175,7.7093,3.6465,-0.0522,1.7579,-0.60514,5.1378,0.39,-1.9214,-5.3,-5.3,-3.3,-1.3,-1.6094,-0.59658,-17.6,-8.3247,53.6
YBR156C,3.989,5.1761,7.6483,2.9085,-0.77319,1.335,-1.4106,3.6889,0.35,-2.537,-10.4,-8.5,-0.2,-2.1,-1.6094,-0.6921,-13.4,-5.8697,38.9
YOR076C,3.5835,4.5109,7.716,3.3851,-0.59145,2.0149,-1.8326,3.912,0.36,-3.2289,-2.8,-10.8,-12.7,-6,-1.6094,-0.62317,-15.3,-6.3822,34
YNR026C,3.434,5.8111,7.2556,3.9297,0.10263,2.4159,-1.682,4.654,0.37,-1.814,-1.4,-8.8,-7.7,-7.3,-1.6094,-0.50084,-20.9,-8.3935,39.2
YHR068W,4.0254,4.9416,7.0596,6.0702,-0.048384,2.8565,0.0079682,6.6311,0.51,-1.9611,-1.8,-8,8,-3.5,-1.6094,-0.58946,-16.1,-9.7351,26.5
YLR003C,2.9957,4.4886,6.7754,4.405,-0.054346,3.2884,-1.8839,3.912,0.37,-2.2779,-2.8,-2.8,-15.3,0.4,-1.6094,-0.74888,-9.8,-5.2036,33.6
YER113C,5.0562,4.9273,7.6596,4.0187,-0.97563,2.3026,-1.4313,4.3652,0.33,-2.3066,-6.6,-6.7,-3.5,-10.2,-1.6094,-0.51988,-14.9,-7.6971,31.4
YHR122W,4.0073,4.9698,6.5453,4.1936,0.26401,3.5752,-2.1037,5.0752,0.35,-2.4373,1.7,-0.5,-13.8,-4.1,-1.6094,-0.56571,-15.5,-8.5818,30.1
YOR272W,3.8501,4.3567,7.232,4.6955,0.14817,2.4932,-0.95451,5.2077,0.43,-1.8534,-3.6,3.6,-11.9,-4.5,0.18232,-0.52772,-19.9,-8.6311,33.3
YMR184W,3.7842,3.6889,6.3919,4.1172,0.25952,4.1223,-2.8647,4.1947,0.38,-2.6664,0.4,0.86,0,0,-1.6094,-0.56114,-11.3,-6.7889,33.8
YOR358W,3.5835,5.6131,6.5917,3.0421,-0.21838,2.5802,-2.6451,4.119,0.35,-2.0534,-5.1,-5.9,-10.5,5.4,-1.6094,-0.41888,-16.5,-9.4696,41.4
YJL198W,3.912,4.3307,7.8808,4.1263,-0.60321,2.0015,-0.70118,4.765,0.4,-2.155,-7.4,-2.5,-5.6,-7,-1.6094,-0.45714,-18.8,-8.8211,33.7
YOL135C,2.1972,5.0752,6.5058,3.2809,0.087763,2.0015,-2.3126,4.9102,0.3,-2.1901,-7.8,-7.8,-5.1,-6.2,-1.6094,-0.35049,-15.5,-7.4048,35
YOR323C,2.8904,4.6347,7.2233,5.7472,0.23361,3.3322,-0.8916,5.6768,0.48,-2.149,-2.07,-2.07,-1.1,-6.3,-1.6094,-0.54415,-17,-9.6932,29.1
YLL041C,3.7612,5.9162,6.6859,3.8302,0.2339,2.5416,-1.1744,5.0897,0.4,-2.5823,-1,-6.5,-7.8,3.1,-1.6094,-0.47907,-16.9,-8.7216,44.9
YOR195W,4.1271,5.4116,7.8104,3.7281,-0.25956,1.9021,-1.5279,3.9318,0.42,-2.8117,-6.1,-8.2,1.8,-5.2,-1.6094,-0.63394,-16.4,-5.179,23.6
YLR069C,1.6094,4.8363,7.7346,3.9462,-0.22174,2.23,-1.1712,7.4795,0.42,-2.2256,-11.3,-11.3,-6.9,-0.82,-1.6094,-0.65516,-18,-8.6653,34
YDR069C,4.1271,5.7203,7.9306,3.1126,-0.94357,1.4586,-1.423,3.9703,0.36,-2.6941,-9.9,-1.4,-2,-3.5,-1.6094,-0.62764,-15,-6.8301,39.2
YGR232W,3.091,3.989,6.5323,4.6694,-0.0027234,3.7658,-1.7487,4.5713,0.4,-2.2434,-5.7,-5.7,-2.8,2,-1.6094,-0.62806,-17.8,-9.6714,25.2
YHL039W,3.9512,4.2047,7.4719,4.0394,-0.50918,2.0281,-1.1363,5.1705,0.39,-2.6479,-2.3,-6.6,-10.6,-8.2,-1.6094,-0.56353,-14,-7.714,36
YOR157C,4.1589,4.9273,6.667,5.5837,0.26529,2.7344,-0.43386,7.3914,0.41,-1.4036,-7.9,-4.1,-8.3,-3.4,-1.6094,-0.52863,-21.2,-10.084,29
YDR034C,4.9273,4.92,7.7719,3.6473,-0.8666,1.7579,-0.71131,4.3758,0.36,-2.1901,-1.6,-3.8,-3.6,-14.7,0.78846,-0.64208,-15.7,-7.2487,41.4
YDL043C,3.8286,5.7366,6.6859,3.4187,0.40863,2.5337,-1.9661,4.2244,0.37,-2.655,-8.3,-4.6,0,-6.1,-1.6094,-0.67188,-14.2,-6.452,42.9
YDL012C,2.7726,5.0999,5.7807,4.2922,1.083,2.2513,-0.61434,4.1271,0.34,-1.739,0.3,0.3,-13.3,2.6,-1.6094,-0.54898,-11.1,-5.5556,31.8
YLR299W,5.1874,4.852,7.5924,3.2619,-0.15287,2.3125,-1.5096,3.9318,0.35,-2.081,-2.9,-6,-6.2,1.7,0.18232,-0.50806,-17.6,-10.02,30.8
YPL051W,1.7918,5.1874,6.3919,3.4443,0.013321,2.9857,-2.2634,4.4582,0.36,-2.4338,0.6,0.6,-0.9,-4.2,-1.6094,-0.65334,-13.6,-6.8,36.8
YDR156W,3.5264,4.5218,6.0259,4.68,0.45838,2.1748,-0.23193,5.386,0.38,-0.68359,-5.7,-4.7,-14.2,5.3,-1.6094,-0.2356,-23.3,-12.158,36
YDR305C,3.7136,3.9318,6.4831,3.7579,-0.14891,3.7887,-2.8473,4.2341,0.38,-2.1716,4.1,-2.5,5.11,-3.3,-1.6094,-0.656,-13.9,-6.94,48.7
YPR100W,3.6376,4.4427,6.0474,4.7135,0.14369,2.6532,-0.74866,4.6883,0.37,-1.5721,-4.9,-5.7,-7.9,-3.8,-1.6094,-0.48747,-17.6,-9.7846,30.5
YLR096W,5.2257,4.7185,8.1444,3.876,-0.78312,1.8405,-1.0613,4.2268,0.36,-1.9625,-4.2,-2.8,-4.8,-4,-1.6094,-0.67319,-16.5,-7.4274,30.8
YLR427W,4.5433,5.1417,7.6074,3.7114,-0.71714,2.1163,-1.4524,4.529,0.36,-2.21,12,-12,-10.5,-2.1,-1.6094,-0.51585,-16.9,-8.2233,36.1
YMR127C,4.5539,5.3753,6.9246,3.2604,-0.95482,2.9549,-2.7969,3.7377,0.32,-2.6118,-5.7,-10.9,-9.6,3.1,-1.6094,-0.56356,-16.4,-8.4781,37.2
YIL140W,4.7005,4.8122,7.8128,3.7271,-0.058206,2.0412,-0.92634,4.4735,0.38,-3.0221,-5,-1.4,-6.8,-4.4,-1.6094,-0.5798,-17.5,-8.0173,33.7
YLR197W,3.1781,5.2204,7.3232,6.4931,-0.060016,3.2995,0.83595,7.1765,0.52,-1.2726,-8.3,-8.3,0,3.3,-1.6094,-0.65139,-15.2,-7.9612,27.2
YJL204C,4.0431,4.2767,7.8332,3.2984,-0.38662,2.1861,-1.9379,4.7185,0.39,-3.3903,-8.8,-2.8,4.6,-4.7,-1.6094,-0.6373,-13.3,-5.9414,36
YLR244C,2.8332,3.989,7.0596,5.6248,0.3087,2.0669,0.22634,6.4708,0.44,-0.71376,0.3,0.3,2.4,-0.8,-1.6094,-0.61774,-15,-7.9351,33.9
YJR084W,3.1355,4.9488,7.1483,3.3824,-0.40021,2.6672,-2.0956,3.8501,0.3,-2.0295,-6.4,-6.4,-0.3,-9.2,-1.6094,-0.50461,-15.1,-8.1439,36.5
YDL238C,3.2958,4.5951,7.293,3.1197,-1.3775,2.2618,-3.2189,3.912,0.35,-2.4557,-10.3,-10.3,-13.9,-5.9,-1.6094,-0.48916,-18.8,-9.5511,34.5
YGL084C,3.8067,4.3694,7.4283,4.3883,-0.36237,2.2925,-1.3168,4.995,0.39,-2.2643,-10.2,-5,-7.8,-5.5,-1.6094,-0.54334,-21.9,-7.9091,30.9
YLR382C,4.3567,5.0876,7.8954,3.2947,-0.91889,2.2083,-1.8202,4.1589,0.37,-2.8806,-5,-10.2,-7,-9,-1.6094,-0.56863,-16.7,-7.8568,40.6
YFR050C,3.9512,4.9273,6.6859,5.4492,0.2657,2.3979,-0.3439,7.4936,0.37,-1.0712,-5.8,-3.5,-3.6,-6.5,-1.6094,-0.58754,-16.6,-9.664,24.3
YGR126W,3.4012,5.2523,6.541,2.9124,-0.13976,2.0541,-2.7969,4.6315,0.41,-2.1982,-5.8,-5.8,-8.2,-6.3,-1.6094,-0.62555,-13.4,-7.3227,50
YAR019C,3.4657,4.0254,7.981,2.7893,-1.1859,1.5892,-1.7373,4.0431,0.35,-3.1991,-8.8,-9.5,-3.3,-5.8,-1.6094,-0.46418,-18.1,-7.7156,31.8
YML129C,2.1972,5.2781,5.3613,4.8238,0.81257,2.3224,-0.54818,5.0876,0.38,-1.8728,-4.9,-4.9,-2.3,0,-1.6094,-0.53954,-13.1,-8.5333,36.8
YPL128C,4.4543,5.6168,7.4319,3.9032,-0.28526,1.9741,-1.3243,4.9127,0.36,-2.162,-5.3,-9.6,0.8,-4,-1.6094,-0.45216,-19,-8.0553,39
YJL091C,1.9459,5.0938,7.2951,3.8044,-0.30309,3.035,-2.2634,5.1686,0.36,-3.0769,-6.9,-6.9,-1.4,-12.4,-1.6094,-0.58468,-20.9,-8.0833,30.5
YGL056C,4.5747,4.4067,7.3677,3.9074,0.10137,1.0296,0.24059,6.0088,0.34,-1.6139,1.7,-8.6,-6.4,1.6,-1.6094,-0.49888,-17.3,-8.2941,52.8
YPL239W,4.3567,5.2933,6.4019,4.8479,0.45064,2.4069,-0.95192,6.281,0.41,-1.2334,-3.5,6.1,0.3,-6.1,0.18232,-0.48368,-19.8,-10.126,32.4
YPR183W,3.6109,4.4067,6.6896,5.3998,0.63159,2.5014,0.12222,6.1563,0.42,-1.7976,0.7,5.79,-10.1,-2.6,-1.6094,-0.19483,-19.9,-10.944,33.1
YOR206W,3.3673,4.3694,7.6653,4.9383,-0.14854,1.8871,0.045929,6.0822,0.45,-1.6435,-7.1,-7.1,8.2,-3.1,-1.6094,-0.63144,-19.2,-6.7757,36.5
YLR020C,3.6376,5.1358,7.3883,3.9901,-0.73624,2.5726,-1.4271,4.3694,0.36,-2.4046,-14,-12.3,-7.6,-3.9,-1.6094,-0.56717,-14.1,-8.0038,33.7
YDL060W,2.9957,4.5109,7.7694,4.4823,-0.23112,2.0281,-0.6832,5.6664,0.42,-1.5775,-5.2,-5.2,-6.9,-9.7,-1.6094,-0.56409,-17.8,-7.9117,31.5
YNR052C,4.6151,3.9318,7.1717,4.1353,-0.010938,2.1972,-1.0966,5.5491,0.36,-1.8566,-5,-8.2,-7,-3.3,-1.6094,-0.37638,-19,-8.919,27
YOL076W,3.091,4.7536,7.7795,4.4065,-0.4721,1.8245,-1.1616,5.5722,0.38,-2.6607,-5.5,-5.5,-2.2,-1.8,-1.6094,-0.55759,-13.8,-6.4462,47.1
YML112W,3.2958,4.3694,6.7923,3.1892,0.12785,2.0281,-1.4439,4.5362,0.36,-2.3382,-4,-4,-4.9,3.7,-1.6094,-0.30453,-14.9,-7.375,40.3
YLR115W,3.1781,4.9904,7.8555,3.6203,-0.81697,1.9169,-1.4397,4.3862,0.36,-2.4913,-6.1,-6.1,-7.2,-5.8,-1.6094,-0.62954,-16,-7.4786,33.8
YER167W,5.9162,5.124,7.8462,3.5715,-0.91756,1.8871,-0.40647,3.7377,0.36,-1.5367,7.65,-10.9,-4.4,1.3,-1.6094,-0.58695,-16.9,-7.2643,14
YDR177W,4.5326,4.7875,6.4739,5.0329,0.55664,3.1905,-0.80073,5.3099,0.4,-2.2155,2.5,-2.3,-2.3,-12.7,-1.6094,-0.55703,-15.4,-9.15,28.9
YHR052W,3.4012,4.8903,7.0309,4.9661,0.2093,3.1091,-0.95192,6.4749,0.46,-1.4196,4.2,4.2,0.9,-6.7,-1.6094,-0.59894,-13.4,-7.2417,33.8
YNL073W,1.3863,4.4543,7.4565,3.8961,-1.2443,2.3979,-2.1982,4.2485,0.35,-2.2312,5.3,5.3,-10.9,-1,-1.6094,-0.39722,-15.9,-8.9232,49
YOR174W,4.7362,4.7362,6.7511,3.6131,-0.38306,3.0773,-2.3126,4.5326,0.38,-2.0272,-4,-5.3,-7.7,-6.5,-1.6094,-0.54797,-17.6,-8.2296,34.4
YPR149W,5.0999,5.948,6.2577,6.5757,0.34588,2.2192,0.47995,7.2832,0.45,-0.93267,-3.5,-4.8,-4.8,0.9,0.78846,-0.44212,-17.6,-10.256,32.9
YNL015W,3.9703,5.2523,5.4293,5.2891,0.68573,4.7875,-1.8708,5.9278,0.55,-2.331,-4,-5.2,-1.5,-4.8,-1.6094,-0.3541,-12.3,-8.65,25.4
YCR084C,5.4116,5.7398,7.6695,5.2113,-0.34314,2.2192,-0.23193,5.8861,0.4,-1.788,-6.8,-2,-3.5,-9.5,0.78846,-0.478,-17.6,-8.6957,26.6
YPL170W,4.2341,5.0434,6.1291,3.7626,0.73699,2.6946,-1.0966,4.5362,0.37,-1.4645,-4.2,-1.1,-13.1,-7,-1.6094,-0.46752,-15.3,-10.186,32.7
YOL097C,3.1781,5.5759,7.1694,5.5235,0.12734,2.5878,-0.32296,6.5391,0.47,-1.3425,-5.3,-5.3,-6.5,-11.6,-1.6094,-0.4922,-22.9,-8.4,31.5
YDR407C,4.3041,4.2341,8.261,3.9002,-1.3429,1.9741,-1.1178,4.0134,0.37,-3.0726,-5,-11.4,-1.8,-3.5,-1.6094,-0.56477,-15.2,-7.1257,37.8
YBR258C,3.091,4.1589,6.0615,2.7246,0.53889,3.5496,-2.9004,4.3883,0.39,-2.004,3.1,3.1,-5.5,-1.5,-1.6094,-0.60643,-11,-6.5615,41
YJL154C,4.4886,3.4657,7.9498,4.4118,-0.74392,2.0919,-0.72361,5.1338,0.36,-2.0092,-4.4,-5.5,-3.2,-1.4,-1.6094,-0.55357,-16.6,-7.3194,28.4
YDR091C,4.2627,5.8289,7.5104,5.3826,-0.12122,2.0669,-0.21319,6.9807,0.49,-1.7305,-5.2,-2,-13.2,0.3,-1.6094,-0.6886,-15.4,-8.1136,38
YJL123C,1.9459,3.8501,7.2703,4.566,0.31056,2.1861,-0.68122,5.6937,0.41,-1.5549,-7.3,-7.3,-11.5,-7.5,-1.6094,-0.54637,-13.5,-7.1943,32.2
YPL188W,2.7726,5.553,7.1269,3.6874,0.062361,2.2513,-1.3903,3.8067,0.36,-2.5588,-8.3,-8.3,-5.1,-1.9,-1.6094,-0.61981,-15.9,-8.0375,34
YDR207C,4.0073,5.2627,7.8284,3.3268,-0.4561,1.5476,-0.99425,4.3307,0.38,-2.4124,-4.1,-3,-3.8,-6.8,-1.6094,-0.48391,-23,-7.857,27.8
YKL191W,3.4012,4.4543,7.3809,4.8362,-0.75833,2.4932,-1.3823,5.0855,0.36,-2.0542,-13.1,-13.1,-11.1,5.7,-1.6094,-0.39082,-17.4,-10.773,28.9
YNR006W,3.0445,4.6821,7.5332,3.5386,-0.010808,1.7405,-0.90387,4.5643,0.37,-2.0778,-0.5,-0.5,-7.5,-5.3,-1.6094,-0.61884,-16,-7.1197,37.2
YHL011C,4.5951,4.8828,6.8701,5.3778,0.13331,2.5572,-0.3798,6.3733,0.44,-1.2715,0,-6.3,-7.8,-2.9,0.18232,-0.71803,-22,-9.571,35
YMR278W,3.6889,4.6634,7.5332,3.9912,-0.13554,2.2407,-1.5896,4.5781,0.39,-2.041,-6.3,-6.3,-1.3,1,-1.6094,-0.62782,-16.9,-8.5918,34.9
YOR197W,2.7726,4.2485,7.1694,5.3321,0.095011,2.451,-0.34531,5.3629,0.4,-2.1128,-5.5,-5.5,-9.5,-5.1,-1.6094,-0.57897,-17.7,-9.1119,33
YKR089C,4.3567,4.3438,7.9132,4.0488,-0.93575,2.1041,-1.07,4.6571,0.35,-2.5692,-5.7,-3.9,-8.4,-2.8,-1.6094,-0.55523,-16.4,-7.6463,37.5
