,5UTRlen,3UTRlen,CDSlen,mRNA_DW,Eff_DW,hl_JC_RZ,syn_JC_RZ,pro,tAI,TR,startWin_1_MEE,startWin_end_MEE,stopWin_1_MEE,stopWin_end_MEE,uORF,GC3,CDSminMFE,CDSmeanMFE,pAlen2
YOR193W,4.0254,4.7274,7.0309,3.2084,-1.3584,2.0794,0.27221,3.7377,0.33,-2.5757,-14,-10,-11.2,-4.5,-1.6094,-0.69929,-17.1,-6.05,30.9
YMR052W,2.8904,4.6913,6.4216,2.6383,0.20015,1.6094,1.0994,4.2437,0.32,-2.8235,-3.6,-3.6,-4.5,-4.3,-1.6094,-0.65291,-13.9,-6.9,33.9
YPR033C,3.5835,4.2195,7.4031,5.9213,0.049085,3.5439,1.4382,7.1441,0.48,-2.0534,-3.4,-6.6,-6.4,-3.7,-1.6094,-0.63244,-17.2,-9.3208,32
YDR528W,5.1761,4.804,7.1483,3.6297,-0.9722,1.3083,0.63987,3.7612,0.36,-2.8932,-8.1,-7.6,-8.2,-0.7,-1.6094,-0.65614,-12.7,-6.6756,48.1
YNL094W,5.6095,3.912,7.4753,3.8347,-1.7245,1.6487,1.537,3.8918,0.39,-2.2828,0.4,0.1,-2.7,4.3,0.18232,-0.61418,-22.4,-7.6,37.5
YPL227C,4.92,4.5218,6.9127,4.6174,-0.45773,0.99325,2.2521,5.178,0.43,-1.6487,-2.6,-11.8,-8.2,-0.2,0.78846,-0.59043,-17.1,-8.6875,30.2
YDL010W,3.3322,5.5491,6.5453,3.7471,0.26725,2.6391,0.73889,4.1846,0.34,-2.4488,-1,-1,0,-3,-1.6094,-0.59725,-15.2,-7.6636,36.5
YDL045C,4.9053,4.8442,6.8255,3.4301,-0.10976,2.1518,1.0697,3.8067,0.36,-2.4079,-12,-8.6,1.4,1.6,-1.6094,-0.55938,-16.1,-7.8414,54.2
YLR163C,3.1781,4.5643,7.2363,4.3385,-0.16886,2.6946,1.0463,5.1552,0.4,-1.8859,5.8,5.8,-3.5,-0.7,-1.6094,-0.6732,-18,-8.24,30
YBL079W,3.9703,4.3438,8.4138,4.6323,-1.1001,1.9601,1.4483,5.3936,0.38,-2.1857,-4.3,-4.2,-6.3,-7.4,-1.6094,-0.61269,-19.9,-7.2887,33.3
YNL056W,2.8332,5.1533,6.3869,4.3527,-0.60346,2.2513,1.398,5.0283,0.34,-1.6923,2,2,-2.7,-11.6,-1.6094,-0.44865,-14.4,-8.6556,38.4
YOR038C,3.912,4.5643,7.874,3.3286,-0.50309,1.5476,0.47537,3.8501,0.37,-2.5257,-10.8,-7.2,-6.6,-5.1,-1.6094,-0.60339,-20,-7.8581,33.1
YFL001W,0.69315,3.434,7.1922,3.7684,-0.5011,1.0986,1.9081,4.6974,0.38,-2.162,-9.3,-9.3,-2,-2,-1.6094,-0.55432,-17.3,-7.3907,38.9
YKL025C,3.4965,4.0943,7.6207,3.7776,-0.39454,2.451,0.22249,4.9488,0.37,-1.987,-7.1,-9.2,0,-3.7,-1.6094,-0.57385,-15.6,-6.447,36.2
YKL170W,3.9512,4.9053,6.0331,4.2054,0.25285,1.1939,2.5422,6.4441,0.38,-1.4288,-1.1,-1.7,-4.9,-2.9,-1.6094,-0.57051,-11.6,-7.9667,39.8
YLR090W,3.091,4.5747,7.2298,3.9574,-0.50866,1.1632,2.2843,4.0943,0.39,-1.7435,-5.5,-5.5,-9,7.7,-1.6094,-0.40564,-21,-9.0227,48
YML022W,3.091,5.3327,6.3351,5.9662,0.26569,1.9021,2.7432,6.1115,0.47,-1.5554,-8.3,-8.3,-8.5,-2.5,-1.6094,-0.52169,-15.4,-10.859,30.9
YJR031C,4.3175,4.8903,8.3492,3.94,-1.0233,1.8245,0.83532,4.483,0.36,-2.8018,-4.9,-9.9,-1.9,-6,-1.6094,-0.63836,-16,-7.4647,28.2
YDL150W,4.5643,4.5433,7.146,4.1446,-0.13432,1.411,1.8225,5.4582,0.39,-2.3486,-0.8,-7.1,-5,0.9,-1.6094,-0.57171,-18.3,-8.5902,35.4
YLR199C,3.434,4.9904,6.7226,3.9763,0.052605,2.0015,1.2921,3.6889,0.34,-2.4214,-3.4,-3.4,-8.1,-1.8,-1.6094,-0.64761,-16.8,-8.4885,35
YNL138W,3.2581,4.7791,7.3658,5.5596,0.14301,4.0182,0.90548,5.7268,0.44,-1.6571,-9.8,-9.8,-7.8,-4.5,-1.6094,-0.61143,-17.4,-8.0412,27.9
YDL236W,2.7081,4.8978,6.8448,4.8086,0.34434,1.3863,3.016,6.3172,0.42,-1.8288,-0.2,-0.2,-9.5,-8.2,-1.6094,-0.55562,-15.2,-8.8533,31.8
YNL116W,4.1109,5.0876,7.3582,3.5133,-0.097906,3.3638,-1.0131,3.6636,0.35,-2.333,-13.4,-8.1,-8.4,-5.4,-1.6094,-0.59592,-24.6,-8.4176,37.4
YDR361C,3.4965,5.5255,6.7476,4.7625,0.22061,1.1939,2.4439,6.0153,0.43,-1.9769,-4,-6.2,-10,-6.6,-1.6094,-0.604,-15.2,-7.4444,36.4
YLR333C,6.1463,4.6821,5.79,7.711,0.47327,2.8034,2.4586,7.6672,0.59,-1.0194,-0.4,-5.3,-3.1,-1.8,-1.6094,-0.44214,-15.1,-10.478,26.3
YGL077C,4.7958,4.3694,7.4337,4.8913,-0.34899,1.5476,2.7325,7.1009,0.4,-2.1964,-8.7,-3.5,-5.5,-2.7,-1.6094,-0.5613,-18.4,-8.8509,35.4
YPL204W,5.2257,4.8903,7.3032,4.5995,-0.19799,1.7228,2.2116,5.4596,0.4,-1.0164,-3.2,-7.6,-8,-0.9,-1.6094,-0.49066,-16.4,-8.2654,42.6
YDR288W,3.6636,5.0626,6.8156,3.6755,-0.79916,1.9315,1.0261,4.4543,0.37,-1.8547,-7.9,-8.9,-7.1,-7.6,-1.6094,-0.61766,-13.3,-8.0345,44.8
YBR237W,3.7842,4.4659,7.8438,3.1583,-1.1982,3.0301,-0.39115,4.4697,0.37,-2.2055,-4.8,-8,-6.7,-1.9,-1.6094,-0.63743,-16.6,-7.6398,42.6
YBR197C,1.6094,6.1247,6.4831,3.6283,-0.35421,1.5261,1.6622,4.6571,0.29,-1.5233,-13.1,-13.1,-12,-5.7,-1.6094,-0.41399,-15.9,-8.865,41.2
YHR147C,3.5264,4.8675,6.4693,4.3232,0.058321,1.7047,2.1697,4.2097,0.37,-1.8978,-2.5,3.5,-3.1,-4.8,-1.6094,-0.63842,-17.9,-9.59,30
YML005W,1.9459,4.0431,7.2363,3.2539,-0.49511,1.0986,1.4969,4.2905,0.34,-2.8525,-4.5,-4.5,-0.3,1.3,-1.6094,-0.64811,-16.4,-7.6844,35.5
YEL012W,4.5539,4.6821,6.4877,3.5743,0.095132,2.2824,1.0308,4.4108,0.37,-2.5245,-5.6,-4.9,-2.3,-4.4,-1.6094,-0.51171,-15.3,-8.525,33.1
YDR382W,4.3944,4.9698,5.8081,8.4583,0.32663,3.1268,4.0612,8.8427,0.66,0.11707,-2.5,-7.5,-9,-8.2,0.18232,-0.62494,-24,-11.35,26.9
YDR483W,3.2581,4.8442,7.1922,5.688,-0.38979,3.4657,1.5725,4.5609,0.45,-2.1186,-9,-9,-4.9,-7,0.18232,-0.53102,-21.5,-9.4744,35.4
YER061C,3.6636,3.8286,7.1922,3.5639,-0.65262,1.5261,2.2147,4.9813,0.35,-2.7567,-4.4,-4.4,-6,-6.4,-1.6094,-0.59033,-16,-8.8767,35.7
YLR022C,1.3863,4.1271,6.6241,4.4907,0.022946,1.2528,2.4612,5.3597,0.36,-1.601,-6.1,-6.1,1,4.2,-1.6094,-0.5826,-13.1,-7.8333,27.9
YER183C,2.3026,4.5218,6.4552,4.2712,-0.17389,1.6864,1.7478,3.9703,0.34,-2.3666,-2.1,-2.1,-10.5,-2.8,-1.6094,-0.67449,-14.1,-9.05,36.3
YOL021C,1.9459,4.585,8.0084,4.5147,-0.28204,1.7579,1.8178,5.261,0.41,-1.4952,-7.2,-7.2,-3.6,0.7,-1.6094,-0.54619,-21.2,-9.4303,37.4
YHR030C,5.1705,4.9488,7.2828,4.3355,-0.46593,1.5261,2.8796,5.1705,0.37,-1.9834,-6.4,-2,-2.3,-3.9,0.18232,-0.59237,-18.4,-8.9851,36.6
YNR050C,3.6376,4.5643,7.2012,5.0264,0.14142,3.3214,0.89875,8.9619,0.5,-2.3016,0.5,-8.9,0,-4.3,-1.6094,-0.59227,-19.9,-9.8767,27.1
YML110C,3.2581,5.6454,6.8287,5.3027,-0.29476,3.2734,1.8477,4.0254,0.41,-1.7994,-6.2,-6.2,-4.5,-3.7,-1.6094,-0.5225,-18.1,-10.007,25.9
YPR029C,3.5835,5.3033,7.8236,4.2683,-0.57244,2.2192,1.2319,3.7136,0.39,-2.5232,-9.2,-9.4,-3.2,-6.4,-1.6094,-0.57609,-16,-6.9732,35.3
YFL048C,3.0445,4.7536,7.1989,5.0258,-0.072004,2.4596,1.7007,5.9532,0.42,-1.772,-9.2,-9.2,-9.3,-5.2,-1.6094,-0.5989,-16.2,-9.1116,26.3
YLR117C,2.0794,4.8203,7.6324,3.3604,-0.48286,2.0919,0.91788,4.3351,0.35,-1.9944,-11.3,-11.3,-5.7,2.8,-1.6094,-0.59217,-21,-7.1866,32.9
YOR109W,4.5433,5.1475,8.1089,4.5595,-0.64154,3.3534,-0.02803,5.2329,0.37,-1.9783,3.2,-2.4,-12.1,-7.2,-1.6094,-0.67915,-16.5,-7.555,32.5
YCL055W,5.6021,4.4067,6.9157,3.7346,0.10467,1.8563,1.1693,4.6944,0.39,-1.9762,-2,2.7,-3.2,-5.5,-1.6094,-0.5764,-14.3,-8.1531,32.1
YCR071C,3.434,4.2485,6.089,4.2059,0.11094,1.6292,2.3169,4.9904,0.35,-1.7922,-9.3,-9.3,-3.2,-3.2,-1.6094,-0.47914,-16.8,-7.8154,29.3
YDR175C,3.8286,4.7536,6.8669,3.7621,0.20797,1.5892,1.7894,4.7005,0.37,-1.7522,0,5.1,-3.6,2.4,-1.6094,-0.65116,-14.7,-8.5733,39.4
YBR070C,2.9957,3.7612,6.5709,3.8834,-0.37726,1.7405,1.6195,4.4998,0.32,-2.7334,-6.4,-6.4,-9,-6.2,-1.6094,-0.53221,-12.2,-8.4227,33.1
YNL315C,2.1972,4.654,6.8638,4.1839,-0.2027,1.6677,2.3783,4.9802,0.4,-1.8439,-10.2,-10.2,-0.3,-4.2,-1.6094,-0.53581,-14.8,-8.5767,34.1
YDR349C,4.5539,4.7707,7.4905,4.2663,-0.92808,2.0015,1.9238,4.4735,0.33,-2.0472,-7.8,-1.4,-4.6,-1.6,0.18232,-0.61484,-17.7,-8.2379,34.3
YIL126W,4.2485,4.8903,8.3139,4.713,-0.74331,2.0149,1.301,5.6095,0.43,-1.5187,-8.7,-9.3,-8.8,-3.3,-1.6094,-0.63299,-19,-7.2657,37.6
YMR282C,3.7612,4.9273,7.4634,3.4626,-1.1501,1.5476,0.99414,4.1972,0.32,-2.7196,-7.7,-6.8,-1.9,-6,-1.6094,-0.62537,-19.4,-8.0404,43.1
YJL069C,3.0445,4.3694,7.4872,4.0632,-0.0022377,0.95551,2.2208,5.8464,0.39,-1.9366,-8.7,-8.7,-2.2,-5.2,-1.6094,-0.63457,-17.3,-7.8757,34.3
YDR332W,3.2189,4.2767,7.6353,2.7856,-1.53,1.8563,0.30169,3.9318,0.34,-2.7473,-3.1,-3.1,-3.8,-3.6,-1.6094,-0.67045,-19.9,-7.3373,14.9
YLR285W,3.5264,4.6728,6.667,4.6964,0.075489,1.9021,1.7829,5.7192,0.4,-2.3549,-6.5,-6.5,-0.7,-6.5,-1.6094,-0.66907,-16.7,-8.448,32.6
YDL219W,3.2581,5.6168,6.1159,4.7991,0.23467,2.7788,0.69292,4.2121,0.42,-2.763,-7.3,-7.3,-7.9,-6.6,-1.6094,-0.65068,-13.9,-8.15,30.6
YCR086W,4.1744,3.9512,6.3509,3.2542,0.45566,0.58779,1.9311,3.9982,0.32,-2.1928,-0.6,0,-3.6,-3.1,-1.6094,-0.32406,-18.7,-8.3778,39.9
YKR024C,3.2581,4.3175,7.7093,3.6465,-0.0522,1.0296,1.8164,5.1378,0.39,-1.9214,-5.3,-5.3,-3.3,-1.3,-1.6094,-0.60516,-17.6,-8.3247,53.6
YOR076C,3.5835,4.5109,7.716,3.3851,-0.59145,3.3214,-0.84112,3.912,0.36,-3.2289,-2.8,-10.8,-12.7,-6,-1.6094,-0.63198,-15.3,-6.3822,34
YNL243W,4.1271,4.3438,7.9749,5.0112,-0.31051,3.6323,0.079546,5.7683,0.38,-1.769,-2.7,-9.1,-0.9,-4.9,-1.6094,-0.38822,-19.5,-9.8379,32
YNR026C,3.434,5.8111,7.2556,3.9297,0.10263,1.5476,1.559,4.654,0.37,-1.814,-1.4,-8.8,-7.7,-7.3,-1.6094,-0.50864,-20.9,-8.3935,39.2
YHR068W,4.0254,4.9416,7.0596,6.0702,-0.048384,2.1518,2.828,6.6311,0.51,-1.9611,-1.8,-8,8,-3.5,-1.6094,-0.59798,-16.1,-9.7351,26.5
YLR003C,2.9957,4.4886,6.7754,4.405,-0.054346,1.2528,2.4785,3.912,0.37,-2.2779,-2.8,-2.8,-15.3,0.4,-1.6094,-0.75888,-9.8,-5.2036,33.6
YER113C,5.0562,4.9273,7.6596,4.0187,-0.97563,1.9741,0.99186,4.3652,0.33,-2.3066,-6.6,-6.7,-3.5,-10.2,-1.6094,-0.52783,-14.9,-7.6971,31.4
YHR122W,4.0073,4.9698,6.5453,4.1936,0.26401,1.7047,2.2548,5.0752,0.35,-2.4373,1.7,-0.5,-13.8,-4.1,-1.6094,-0.57403,-15.5,-8.5818,30.1
YOR272W,3.8501,4.3567,7.232,4.6955,0.14817,1.8245,1.932,5.2077,0.43,-1.8534,-3.6,3.6,-11.9,-4.5,0.18232,-0.53573,-19.9,-8.6311,33.3
YMR184W,3.7842,3.6889,6.3919,4.1172,0.25952,2.3026,1.5185,4.1947,0.38,-2.6664,0.4,0.86,0,0,-1.6094,-0.56942,-11.3,-6.7889,33.8
YOR358W,3.5835,5.6131,6.5917,3.0421,-0.21838,1.6677,1.1454,4.119,0.35,-2.0534,-5.1,-5.9,-10.5,5.4,-1.6094,-0.42606,-16.5,-9.4696,41.4
YJL198W,3.912,4.3307,7.8808,4.1263,-0.60321,1.3083,1.159,4.765,0.4,-2.155,-7.4,-2.5,-5.6,-7,-1.6094,-0.4646,-18.8,-8.8211,33.7
YOR323C,2.8904,4.6347,7.2233,5.7472,0.23361,3.1311,1.5535,5.6768,0.48,-2.149,-2.07,-2.07,-1.1,-6.3,-1.6094,-0.5523,-17,-9.6932,29.1
YLL041C,3.7612,5.9162,6.6859,3.8302,0.2339,3.0956,0.47946,5.0897,0.4,-2.5823,-1,-6.5,-7.8,3.1,-1.6094,-0.4867,-16.9,-8.7216,44.9
YLR069C,1.6094,4.8363,7.7346,3.9462,-0.22174,1.8871,1.792,7.4795,0.42,-2.2256,-11.3,-11.3,-6.9,-0.82,-1.6094,-0.66427,-18,-8.6653,34
YDR069C,4.1271,5.7203,7.9306,3.1126,-0.94357,3.3776,-0.98457,3.9703,0.36,-2.6941,-9.9,-1.4,-2,-3.5,-1.6094,-0.6365,-15,-6.8301,39.2
YGR232W,3.091,3.989,6.5323,4.6694,-0.0027234,2.6319,1.7271,4.5713,0.4,-2.2434,-5.7,-5.7,-2.8,2,-1.6094,-0.63692,-17.8,-9.6714,25.2
YHL039W,3.9512,4.2047,7.4719,4.0394,-0.50918,1.6487,1.3119,5.1705,0.39,-2.6479,-2.3,-6.6,-10.6,-8.2,-1.6094,-0.57184,-14,-7.714,36
YOR157C,4.1589,4.9273,6.667,5.5837,0.26529,2.9392,1.8535,7.3914,0.41,-1.4036,-7.9,-4.1,-8.3,-3.4,-1.6094,-0.53665,-21.2,-10.084,29
YDR034C,4.9273,4.92,7.7719,3.6473,-0.8666,1.335,1.8818,4.3758,0.36,-2.1901,-1.6,-3.8,-3.6,-14.7,0.78846,-0.65107,-15.7,-7.2487,41.4
YDL043C,3.8286,5.7366,6.6859,3.4187,0.40863,1.5892,1.2619,4.2244,0.37,-2.655,-8.3,-4.6,0,-6.1,-1.6094,-0.68114,-14.2,-6.452,42.9
YLR299W,5.1874,4.852,7.5924,3.2619,-0.15287,2.6391,0.71042,3.9318,0.35,-2.081,-2.9,-6,-6.2,1.7,0.18232,-0.51592,-17.6,-10.02,30.8
YPL051W,1.7918,5.1874,6.3919,3.4443,0.013321,1.3083,2.002,4.4582,0.36,-2.4338,0.6,0.6,-0.9,-4.2,-1.6094,-0.66242,-13.6,-6.8,36.8
YDR156W,3.5264,4.5218,6.0259,4.68,0.45838,1.775,0.92616,5.386,0.38,-0.68359,-5.7,-4.7,-14.2,5.3,-1.6094,-0.24157,-23.3,-12.158,36
YPR100W,3.6376,4.4427,6.0474,4.7135,0.14369,2.1163,2.3488,4.6883,0.37,-1.5721,-4.9,-5.7,-7.9,-3.8,-1.6094,-0.49516,-17.6,-9.7846,30.5
YLR096W,5.2257,4.7185,8.1444,3.876,-0.78312,1.7405,1.4274,4.2268,0.36,-1.9625,-4.2,-2.8,-4.8,-4,-1.6094,-0.68246,-16.5,-7.4274,30.8
YLR427W,4.5433,5.1417,7.6074,3.7114,-0.71714,1.6677,1.2913,4.529,0.36,-2.21,12,-12,-10.5,-2.1,-1.6094,-0.52376,-16.9,-8.2233,36.1
YMR127C,4.5539,5.3753,6.9246,3.2604,-0.95482,1.3863,0.78925,3.7377,0.32,-2.6118,-5.7,-10.9,-9.6,3.1,-1.6094,-0.57186,-16.4,-8.4781,37.2
YIL140W,4.7005,4.8122,7.8128,3.7271,-0.058206,2.0281,0.86939,4.4735,0.38,-3.0221,-5,-1.4,-6.8,-4.4,-1.6094,-0.58824,-17.5,-8.0173,33.7
YLR197W,3.1781,5.2204,7.3232,6.4931,-0.060016,1.8405,3.4259,7.1765,0.52,-1.2726,-8.3,-8.3,0,3.3,-1.6094,-0.66046,-15.2,-7.9612,27.2
YJL204C,4.0431,4.2767,7.8332,3.2984,-0.38662,1.8871,0.58136,4.7185,0.39,-3.3903,-8.8,-2.8,4.6,-4.7,-1.6094,-0.64624,-13.3,-5.9414,36
YLR244C,2.8332,3.989,7.0596,5.6248,0.3087,2.6532,1.3855,6.4708,0.44,-0.71376,0.3,0.3,2.4,-0.8,-1.6094,-0.6265,-15,-7.9351,33.9
YJR084W,3.1355,4.9488,7.1483,3.3824,-0.40021,1.5892,1.0615,3.8501,0.3,-2.0295,-6.4,-6.4,-0.3,-9.2,-1.6094,-0.51243,-15.1,-8.1439,36.5
YDL238C,3.2958,4.5951,7.293,3.1197,-1.3775,3.3322,-0.68504,3.912,0.35,-2.4557,-10.3,-10.3,-13.9,-5.9,-1.6094,-0.49687,-18.8,-9.5511,34.5
YGL084C,3.8067,4.3694,7.4283,4.3883,-0.36237,1.6292,1.8024,4.995,0.39,-2.2643,-10.2,-5,-7.8,-5.5,-1.6094,-0.55148,-21.9,-7.9091,30.9
YLR382C,4.3567,5.0876,7.8954,3.2947,-0.91889,1.6094,1.0989,4.1589,0.37,-2.8806,-5,-10.2,-7,-9,-1.6094,-0.57697,-16.7,-7.8568,40.6
YFR050C,3.9512,4.9273,6.6859,5.4492,0.2657,1.9169,2.87,7.4936,0.37,-1.0712,-5.8,-3.5,-3.6,-6.5,-1.6094,-0.59605,-16.6,-9.664,24.3
YAR019C,3.4657,4.0254,7.981,2.7893,-1.1859,2.7279,-0.83515,4.0431,0.35,-3.1991,-8.8,-9.5,-3.3,-5.8,-1.6094,-0.4717,-18.1,-7.7156,31.8
YML129C,2.1972,5.2781,5.3613,4.8238,0.81257,2.4849,2.5713,5.0876,0.38,-1.8728,-4.9,-4.9,-2.3,0,-1.6094,-0.54765,-13.1,-8.5333,36.8
YPL128C,4.4543,5.6168,7.4319,3.9032,-0.28526,1.0296,1.3982,4.9127,0.36,-2.162,-5.3,-9.6,0.8,-4,-1.6094,-0.45959,-19,-8.0553,39
YJL091C,1.9459,5.0938,7.2951,3.8044,-0.30309,2.7408,0.35842,5.1686,0.36,-3.0769,-6.9,-6.9,-1.4,-12.4,-1.6094,-0.59316,-20.9,-8.0833,30.5
YPR183W,3.6109,4.4067,6.6896,5.3998,0.63159,3.1822,1.3641,6.1563,0.42,-1.7976,0.7,5.79,-10.1,-2.6,-1.6094,-0.20056,-19.9,-10.944,33.1
YOR206W,3.3673,4.3694,7.6653,4.9383,-0.14854,1.5686,2.5354,6.0822,0.45,-1.6435,-7.1,-7.1,8.2,-3.1,-1.6094,-0.64033,-19.2,-6.7757,36.5
YLR075W,3.0445,4.7622,6.5013,8.8684,0.29913,3.3569,4.4175,8.4364,0.62,0.28005,-3.4,-3.4,-8.5,-8.1,-1.6094,-0.39984,-15.4,-10.852,26.7
YLR020C,3.6376,5.1358,7.3883,3.9901,-0.73624,1.1314,1.9521,4.3694,0.36,-2.4046,-14,-12.3,-7.6,-3.9,-1.6094,-0.5755,-14.1,-8.0038,33.7
YDL060W,2.9957,4.5109,7.7694,4.4823,-0.23112,1.6094,1.7806,5.6664,0.42,-1.5775,-5.2,-5.2,-6.9,-9.7,-1.6094,-0.5724,-17.8,-7.9117,31.5
YML112W,3.2958,4.3694,6.7923,3.1892,0.12785,0.91629,1.5737,4.5362,0.36,-2.3382,-4,-4,-4.9,3.7,-1.6094,-0.31093,-14.9,-7.375,40.3
YLR115W,3.1781,4.9904,7.8555,3.6203,-0.81697,1.3863,1.4905,4.3862,0.36,-2.4913,-6.1,-6.1,-7.2,-5.8,-1.6094,-0.63842,-16,-7.4786,33.8
YDR177W,4.5326,4.7875,6.4739,5.0329,0.55664,3.0155,1.6309,5.3099,0.4,-2.2155,2.5,-2.3,-2.3,-12.7,-1.6094,-0.56528,-15.4,-9.15,28.9
YHR052W,3.4012,4.8903,7.0309,4.9661,0.2093,0.58779,3.3549,6.4749,0.46,-1.4196,4.2,4.2,0.9,-6.7,-1.6094,-0.60755,-13.4,-7.2417,33.8
YNL073W,1.3863,4.4543,7.4565,3.8961,-1.2443,1.9459,1.4733,4.2485,0.35,-2.2312,5.3,5.3,-10.9,-1,-1.6094,-0.40425,-15.9,-8.9232,49
YOR174W,4.7362,4.7362,6.7511,3.6131,-0.38306,1.4816,1.3193,4.5326,0.38,-2.0272,-4,-5.3,-7.7,-6.5,-1.6094,-0.55614,-17.6,-8.2296,34.4
YNL015W,3.9703,5.2523,5.4293,5.2891,0.68573,2.7537,1.6312,5.9278,0.55,-2.331,-4,-5.2,-1.5,-4.8,-1.6094,-0.36083,-12.3,-8.65,25.4
YCR084C,5.4116,5.7398,7.6695,5.2113,-0.34314,2.0794,1.564,5.8861,0.4,-1.788,-6.8,-2,-3.5,-9.5,0.78846,-0.48562,-17.6,-8.6957,26.6
YPL028W,3.989,4.5951,7.0876,6.3273,0.2046,3.157,1.9331,7.2378,0.51,-2.1884,-8.5,-3.1,-1.6,-5.4,-1.6094,-0.63052,-19.1,-11.868,26.4
YOL097C,3.1781,5.5759,7.1694,5.5235,0.12734,2.3514,2.0397,6.5391,0.47,-1.3425,-5.3,-5.3,-6.5,-11.6,-1.6094,-0.49993,-22.9,-8.4,31.5
YBR258C,3.091,4.1589,6.0615,2.7246,0.53889,1.8083,1.3878,4.3883,0.39,-2.004,3.1,3.1,-5.5,-1.5,-1.6094,-0.6151,-11,-6.5615,41
YNL241C,3.989,5.323,7.3251,5.7657,-0.13581,2.1041,2.1536,6.3362,0.42,-2.0859,-2.1,-3.1,2.7,-7.9,-1.6094,-0.2731,-20.1,-12.237,34.4
YJL154C,4.4886,3.4657,7.9498,4.4118,-0.74392,2.7726,0.78019,5.1338,0.36,-2.0092,-4.4,-5.5,-3.2,-1.4,-1.6094,-0.56179,-16.6,-7.3194,28.4
YDR091C,4.2627,5.8289,7.5104,5.3826,-0.12122,1.5686,2.6013,6.9807,0.49,-1.7305,-5.2,-2,-13.2,0.3,-1.6094,-0.69802,-15.4,-8.1136,38
YJL123C,1.9459,3.8501,7.2703,4.566,0.31056,2.9857,0.69903,5.6937,0.41,-1.5549,-7.3,-7.3,-11.5,-7.5,-1.6094,-0.55454,-13.5,-7.1943,32.2
YPL188W,2.7726,5.553,7.1269,3.6874,0.062361,3.1697,-0.23863,3.8067,0.36,-2.5588,-8.3,-8.3,-5.1,-1.9,-1.6094,-0.6286,-15.9,-8.0375,34
YDR207C,4.0073,5.2627,7.8284,3.3268,-0.4561,1.9741,-0.30003,4.3307,0.38,-2.4124,-4.1,-3,-3.8,-6.8,-1.6094,-0.49158,-23,-7.857,27.8
YKL191W,3.4012,4.4543,7.3809,4.8362,-0.75833,2.0794,1.3833,5.0855,0.36,-2.0542,-13.1,-13.1,-11.1,5.7,-1.6094,-0.39781,-17.4,-10.773,28.9
YNR006W,3.0445,4.6821,7.5332,3.5386,-0.010808,2.23,0.80129,4.5643,0.37,-2.0778,-0.5,-0.5,-7.5,-5.3,-1.6094,-0.62762,-16,-7.1197,37.2
YOL039W,3.0445,5.2627,5.7714,8.3113,0.3443,2.8154,3.981,4.804,0.69,-1.1202,-2.8,-2.8,-16.2,6.1,-1.6094,-0.5838,-23.4,-11.811,25.1
YHL011C,4.5951,4.8828,6.8701,5.3778,0.13331,1.7047,2.6929,6.3733,0.44,-1.2715,0,-6.3,-7.8,-2.9,0.18232,-0.72772,-22,-9.571,35
YOR197W,2.7726,4.2485,7.1694,5.3321,0.095011,2.681,1.6104,5.3629,0.4,-2.1128,-5.5,-5.5,-9.5,-5.1,-1.6094,-0.58741,-17.7,-9.1119,33
YKR089C,4.3567,4.3438,7.9132,4.0488,-0.93575,3.0727,0.581,4.6571,0.35,-2.5692,-5.7,-3.9,-8.4,-2.8,-1.6094,-0.56347,-16.4,-7.6463,37.5
YKR072C,4.0775,4.6052,7.4319,4.2279,-0.37346,1.411,1.9692,5.6407,0.39,-0.81622,-7.2,-3,-3.8,-4.1,-1.6094,-0.49392,-17.9,-6.9091,34.3
YGR234W,2.9957,5.5872,7.0901,6.6831,0.24836,2.5177,3.5665,5.9489,0.46,-1.3598,-1.3,-1.3,-9.5,-5.6,-1.6094,-0.65596,-15.2,-8.3237,29.5
YMR178W,2.9444,5.0626,6.7154,4.3766,0.0082604,2.3026,1.7993,5.071,0.37,-2.274,-9.7,-9.7,-11.6,-4.5,-1.6094,-0.66388,-13.6,-8.8154,33.3
YNL090W,4.9767,5.8777,6.3613,4.4194,-0.18766,2.7537,0.052895,5.0304,0.36,-2.3687,-2.2,-5.8,3.1,-2.7,0.18232,-0.69314,-12.3,-8.7833,29.8
YMR152W,2.3979,4.3307,7.0012,4.2208,0.096391,3.2268,0.27564,5.124,0.45,-2.4102,-1.4,-1.4,-5.5,-2.7,-1.6094,-0.53049,-13.9,-7.3114,31
YMR029C,3.3322,4.4543,7.3601,3.902,-0.62483,2.8792,0.44695,4.3438,0.39,-2.5823,-11.8,-11.8,-5.3,-9.5,-1.6094,-0.55976,-17.1,-7.3745,29.4
YPL064C,2.0794,4.0431,6.809,3.8238,-0.83464,1.9021,1.5229,3.9416,0.37,-1.5488,-6,-6,-4.2,-8.2,-1.6094,-0.62561,-17.3,-8.2,32.3
YPL086C,3.8067,4.7791,7.423,4.4893,-0.14576,2.0919,1.2339,5.4582,0.43,-2.1594,-1.9,-6.8,5.6,-7.5,-1.6094,-0.74978,-16,-8.1981,30.9
YKR066C,2.9444,4.5218,6.9903,5.0966,-0.01734,3.7281,0.85725,4.8468,0.41,-1.623,-7.9,-7.9,-2.4,-2.2,-1.6094,-0.33255,-17.7,-11.351,26.3
YLR231C,1.0986,4.6728,7.2167,4.4932,0.029317,3.1485,0.3124,3.8501,0.37,-2.9917,-10.3,-10.3,-13.5,-6.7,-1.6094,-0.53645,-15.5,-9.7364,30.3
